# SKILL RUNTIME AUDIT PROGRESS
# Format: [STATUS] card_no | name_en | trigger | type | ability_path | engine | mcp | notes | date
# STATUS: PENDING | ENGINE_PASS | MCP_PASS | FAIL | SKIP | WONTFIX
# Separate from CARD_AUDIT_PROGRESS.txt (text/rules audit).
# Rebuilt: 2026-07-10
#
# Vol.1 deep outcome audit (2026-07-11):
# - Dedicated batch: reports/skill_audit_batches/batch-vol1.json (bp_vol1, 104 cards / 190 nodes)
# - Shallow engine+MCP: FAIL 0 / SKIP 0
# - Outcome PHPUnit: tests/Engine/Vol1NijigasakiSkillAuditTest.php + Vol1HasunosoraLiellaSkillAuditTest.php
#   covering 47 unique ability fingerprints (PL!N / PL!HS / PL!SP / LL-bp1)
# - Engine fixes shipped with this pass: AbilityResolver no longer pre-refreshes WR into deck;
#   pick_yell_member single-candidate add; reveal_deck_until_live then; energy_wait viability;
#   Solitude Rain score_per_distinct_heart_colors
# - Remaining SKIP/WONTFIX for vol.1 deep suite: none (nested continuous draw_per_yell_* exercised
#   only as presence on Live cards; foil variants share ability JSON with audited reps)
[MCP_PASS] PL!S-bp2-001-P | Chika Takami | continuous | blade_if_no_self_success_opp_has | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-001-R | Chika Takami | continuous | blade_if_no_self_success_opp_has | abilities[0] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-002-P | Riko Sakurauchi | on_leave_stage | add_from_wr | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-002-P | Riko Sakurauchi | on_leave_stage | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-002-R | Riko Sakurauchi | on_leave_stage | add_from_wr | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-002-R | Riko Sakurauchi | on_leave_stage | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-003-P | Kanan Matsuura | auto | auto_yell_live_heart | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-003-R | Kanan Matsuura | auto | auto_yell_live_heart | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-004-P | Dia Kurosawa | auto | auto_yell_no_live_retry | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-004-R | Dia Kurosawa | auto | auto_yell_no_live_retry | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-005-P | You Watanabe | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-P | You Watanabe | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-P＋ | You Watanabe | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-P＋ | You Watanabe | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-R＋ | You Watanabe | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-R＋ | You Watanabe | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-SEC | You Watanabe | on_enter | look_reveal_filter | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-005-SEC | You Watanabe | on_enter | optional_discard_prompt | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_discard_prompt; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-006-P | Yoshiko Tsushima | on_enter | play_wr_members_combined_cost | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-006-P | Yoshiko Tsushima | on_enter | optional_pay_energy | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_pay_energy_on_enter; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-006-R | Yoshiko Tsushima | on_enter | play_wr_members_combined_cost | abilities[0].then | PASS | PASS | nested chain via parent; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-006-R | Yoshiko Tsushima | on_enter | optional_pay_energy | abilities[0] | PASS | PASS | wr_filter=member; prompt=optional_pay_energy_on_enter; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-007-P | Hanamaru Kunikida | auto | auto_yell_draw_if_hand_max | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-P | Hanamaru Kunikida | live_start | optional_reveal_live_deck_bottom_surveil | abilities[1] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-P＋ | Hanamaru Kunikida | auto | auto_yell_draw_if_hand_max | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-P＋ | Hanamaru Kunikida | live_start | optional_reveal_live_deck_bottom_surveil | abilities[1] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-R＋ | Hanamaru Kunikida | auto | auto_yell_draw_if_hand_max | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-R＋ | Hanamaru Kunikida | live_start | optional_reveal_live_deck_bottom_surveil | abilities[1] | PASS | PASS | wr_filter=member; prompt=optional_reveal_live_deck_bottom_surveil; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-SEC | Hanamaru Kunikida | auto | auto_yell_draw_if_hand_max | abilities[0] | PASS | PASS | wr_filter=member; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-007-SEC | Hanamaru Kunikida | live_start | optional_reveal_live_deck_bottom_surveil | abilities[1] | PASS | PASS | wr_filter=member; prompt=optional_reveal_live_deck_bottom_surveil; tierC phase=main_first | 2026-07-10
[MCP_PASS] PL!S-bp2-008-P | Mari Ohara | on_enter | optional_wr_live_deck_bottom | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-P | Mari Ohara | continuous | grant_live_success_yell_live_score_if_full_stage | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-P＋ | Mari Ohara | on_enter | optional_wr_live_deck_bottom | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-P＋ | Mari Ohara | continuous | grant_live_success_yell_live_score_if_full_stage | abilities[1] | PASS | PASS | continuous via getLiveScoreBonusBreakdown; wr_filter=member; tier A ok | 2026-07-10
[MCP_PASS] PL!S-bp2-008-R＋ | Mari Ohara | on_enter | optional_wr_live_deck_bottom | abilities[0] | PASS | PASS | wr_filter=member; tier A ok | 2026-07-10
